TI,authors
Role of Social Media in Social Change: An Analysis of Collective Sense Making During the 2011 Egypt Revolution,"Onook Oh, Chanyoung  Eom, H. R.  Rao"
Perceived Firm Attributes and Intrinsic Motivation in Sponsored Open Source Software Projects,"Sebastian Spaeth, Georg  von Krogh, Fang  He"
MOTIVATING EMPLOYEES TO EXPLORE COLLABORATION TECHNOLOGY IN TEAM CONTEXTS,"Likoebe M. Maruping, Massimo  Magni"
HOW DOES THE INTERNET AFFECT THE FINANCIAL MARKET? AN EQUILIBRIUM MODEL OF INTERNET-FACILITATED FEEDBACK TRADING,"Xiaoquan (Michael) Zhang, Lihong  Zhang"
HOW DO ENTERPRISE RESOURCE PLANNING SYSTEMS AFFECT FIRM RISK? POST-IMPLEMENTATION IMPACT,"Feng Tian, Sean Xin  Xu"
INVESTING IN INFORMATION SYSTEMS: ON THE BEHAVIORAL AND INSTITUTIONAL SEARCH MECHANISMS UNDERPINNING HOSPITALS' IS INVESTMENT DECISIONS,"Torsten Oliver Salge, Rajiv  Kohli, Michael  Barrett"
INSIDER THREATS IN A FINANCIAL INSTITUTION: ANALYSIS OF ATTACK-PRONENESS OF INFORMATION SYSTEMS APPLICATIONS,"Jingguo Wang, Manish  Gupta, H. Raghav  Rao"
AN ENHANCED FEAR APPEAL RHETORICAL FRAMEWORK: LEVERAGING THREATS TO THE HUMAN ASSET THROUGH SANCTIONING RHETORIC,"Allen C. Johnston, Merrill  Warkentin, Mikko  Siponen"
SERVICE INNOVATION: A SERVICE-DOMINANT LOGIC PERSPECTIVE,"Robert F. Lusch, Satish  Nambisan"
THE VALUE OF SELF-SERVICE: LONG-TERM EFFECTS OF TECHNOLOGY-BASED SELF-SERVICE USAGE ON CUSTOMER RETENTION,"Anne Scherer, Nancy V.  Wuenderlich, Florian  von Wangenheim"
THE ALGORITHM AND THE CROWD: CONSIDERING THE MATERIALITY OF SERVICE INNOVATION,"Wanda J. Orlikowski, Susan V.  Scott"
DISTRIBUTED TUNING OF BOUNDARY RESOURCES: THE CASE OF APPLE'S IOS SERVICE SYSTEM,"Ben Eaton, Silvia  Elaluf-Calderwood, Carsten  Sorensen"
BRIDGING THE SERVICE DIVIDE THROUGH DIGITALLY ENABLED SERVICE INNOVATIONS: EVIDENCE FROM INDIAN HEALTHCARE SERVICE PROVIDERS,"Shirish C. Srivastava, G.  Shainesh"
The Last Research Mile: Achieving Both Rigor and Relevance in Information Systems Research,"Jr.  Jay F. Nunamaker, Robert O.  Briggs, Douglas C.  Derrick, Gerhard  Schwabe"
Barriers to Interorganizational Knowledge Transfer in Post-Hospital Care Transitions: Review and Directions for Information Systems Research,"Shi Ying Lim, Sirkka L.  Jarvenpaa, Holly J.  Lanham"
Anatomy of Successful Business Models for Complex Services: Insights from the Telemedicine Field,"Christoph Peters, Ivo  Blohm, Jan Marco  Leimeister"
"It Is Not Just About Competition with ""Free"": Differences Between Content Formats in Consumer Preferences and Willingness to Pay","Benedikt Berger, Christian  Matt, Dennis M.  Steininger, Thomas  Hess"
Evaluating Team Collaboration Quality: The Development and Field Application of a Collaboration Maturity Model,"Imed Boughzala, Gert-Jan  De Vreede"
Strategic Relevance of Organizational Virtues Enabled by Information Technology in Organizational Innovation,"Sutirtha Chatterjee, Gregory  Moody, Paul Benjamin  Lowry, Suranjan  Chakraborty, Andrew  Hardin"
Machiavellianism or Morality: Which Behavior Pays Off In Online Innovation Contests?,"Katja Hutter, Johann  Fueller, Julia  Hautz, Volker  Bilgram, Kurt  Matzler"
A Taxonomy of Evaluation Methods for Information Systems Artifacts,"Nicolas Prat, Isabelle  Comyn-Wattiau, Jacky  Akoka"
Competition Between Open Source and Proprietary Software: Strategies for Survival,Michael Sacks
Task Division for Team Success in Crowdsourcing Contests: Resource Allocation and Alignment Effects,"Indika Dissanayake, Jie  Zhang, Bin  Gu"
"Family Preferences Concerning Online Privacy, Data Mining, and Targeted Ads: Regulatory Implications","Eric K. Clemons, Joshua S.  Wilson"
Industry-Level Analysis of Information Technology Return and Risk: What Explains the Variation?,"Fei Ren, Sanjeev  Dewan"
Understanding the Dynamics of Service-Oriented Architecture Implementation,"Xitong Li, Stuart E.  Madnick"
Contextualized Relationship Between Knowledge Sharing and Performance in Software Development,"Muammer Ozer, Doug  Vogel"
Understanding Members' Active Participation in Online Question-and-Answer Communities: A Theory and Empirical Analysis,"Lara Khansa, Xiao  Ma, Divakaran  Liginlal, Sung S.  Kim"
Social Media and Brand Purchase: Quantifying the Effects of Exposures to Earned and Owned Social Media Activities in a Two-Stage Decision Making Model,"Karen Xie, Young-Jin  Lee"
Role of Affect in Self-Disclosure on Social Network Websites: A Test of Two Competing Models,"Jongtae Yu, Paul Jen-Hwa  Hu, Tsang-Hsiang  Cheng"
Design Theory for Market Surveillance Systems,"Xin Li, Sherry X.  Sun, Kun  Chen, Terrance  Fung, Huaiqing  Wang"
Estimating the Contextual Risk of Data Breach: An Empirical Approach,"Ravi Sen, Sharad  Borle"
The Impact of Firm Learning on Value Creation in Strategic Outsourcing Relationships,"Deepa Mani, Anitesh  Barua"
The Role of Dynamic Capabilities in Responding to Digital Disruption: A Factor-Based Study of the Newspaper Industry,"Jahangir Karimi, Zhiping  Walter"
Knowledge Integration in Outsourced Software Development: The Role of Sentry and Guard Processes,"Nikhil Mehta, Anandhi  Bharadwaj"
Exploitation and Exploration Networks in Open Source Software Development: An Artifact-Level Analysis,"Orcun Temizkan, Ram L.  Kumar"
"Temporal Distance, Communication Patterns, and Task Performance in Teams","J. Alberto Espinosa, Ning  Nan, Erran  Carmel"
"Lost in Cyberspace: The Impact of Information Scent and Time Constraints on Stress, Performance, and Attitudes Online","Gregory D. Moody, Dennis F.  Galletta"
Web Personalization Cues and Their Differential Effects on User Assessments of Website Value,Alexander Benlian
Online Price Dispersion Revisited: How Do Transaction Prices Differ from Listing Prices?,"Kexin Zhao, Xia  Zhao, Jing  Deng"
Push or Pull? A Website's Strategic Choice of Content Delivery Mechanism,Dan Ma
Employees' Exploration of Complex Systems: An Integrative View,"Huigang Liang, Zeyu  Peng, Yajiong  Xue, Xitong  Guo, Nengmin  Wang"
Healthcare IT Adoption: An Analysis of Knowledge Transfer in Socioeconomic Networks,"Gang Peng, Debabrata  Dey, Atanu  Lahiri"
"Intermediation in a Sharing Economy: Insurance, Moral Hazard, and Rent Extraction",Thomas A. Weber
Augmenting Conflict Resolution with Informational Response: A Holistic View of Governance Choice in Business Process Outsourcing,"Anitesh Barua, Deepa  Mani"
Autonomous Scientifically Controlled Screening Systems for Detecting Information Purposely Concealed by Individuals,"Nathan W. Twyman, Paul Benjamin  Lowry, Judee K.  Burgoon, Jr.  Jay F.  Nunamaker"
Digital Natives or Digital Immigrants? The Impact of User Characteristics on Online Trust,"Christian Pieter Hoffmann, Christoph  Lutz, Miriam  Meckel"
Drivers of Quantity and Quality of Participation in Online Policy Deliberation Forums,"Chee Wei Phang, Atreyi  Kankanhalli, Lihua  Huang"
"Classifying, Measuring, and Predicting Users' Overall Active Behavior on Social Networking Sites","Aihui Chen, Yaobin  Lu, Patrick Y. K.  Chau, Sumeet  Gupta"
Delivery Consolidation and Service Competition Among Internet Service Providers,"I. Robert Chiang, Jhih-Hua  Jhang-Li"
Understanding the Drivers of Unethical Programming Behavior: The Inappropriate Reuse of Internet-Accessible Code,"Manuel Sojer, Oliver  Alexy, Sven  Kleinknecht, Joachim  Henkel"
Effects of Freemium Strategy in the Mobile App Market: An Empirical Study of Google Play,"Charles Zhechao Liu, Yoris A.  Au, Hoon Seok  Choi"
INTERNET'S DIRTY SECRET: ASSESSING THE IMPACT OF ONLINE INTERMEDIARIES ON HIV TRANSMISSION,"Jason Chan, Anindya  Ghose"
MULTIHOMING USERS' PREFERENCES FOR TWO-SIDED EXCHANGE NETWORKS,"Tat Koon Koh, Mark  Fichman"
ONTOLOGY-BASED EVALUATION OF NATURAL DISASTER MANAGEMENT WEBSITES: A MULTISTAKEHOLDER PERSPECTIVE,"Chen-Huei Chou, Fatemeh Mariam  Zahedi, Huimin  Zhao"
AN ANALYSIS OF PRICING MODELS IN THE ELECTRONIC BOOK MARKET,"Lin Hao, Ming  Fan"
STRATEGIC BEHAVIOR IN ONLINE REPUTATION SYSTEMS: EVIDENCE FROM REVOKING ON EBAY,"Shun Ye, Guodong (Gordon)  Gao, Siva  Viswanathan"
INFORMATION DISCOVERY AND THE LONG TAIL OF MOTION PICTURE CONTENT,"Anuj Kumar, Michael D.  Smith, Rahul  Telang"
INFORMATION TECHNOLOGY AND ADMINISTRATIVE EFFICIENCY IN US STATE GOVERNMENTS: A STOCHASTIC FRONTIER APPROACH,"Min-Seok Pang, Ali  Tafti, M. S.  Krishnan"
PEER INFLUENCE IN THE DIFFUSION OF IPHONE 3G OVER A LARGE SOCIAL NETWORK,"Miguel Godinho de Matos, Pedro  Ferreira, David  Krackhardt"
HARNESSING THE POWER OF SELF-ORGANIZATION IN AN ONLINE COMMUNITY DURING ORGANIZATIONAL CRISIS,"Ning Nan, Yong  Lu"
LOOKING TOWARD THE FUTURE OF IT-BUSINESS STRATEGIC ALIGNMENT THROUGH THE PAST: A META-ANALYSIS,"Jennifer E. Gerow, Varun  Grover, Jason  Thatcher, Philip L.  Roth"
SYMBOLIC ACTION RESEARCH IN INFORMATION SYSTEMS: INTRODUCTION TO THE SPECIAL ISSUE,"Mark Aakhus, Par J.  Agerfalk, Kalle  Lyytinen, Dov  Te'eni"
TAKE THEIR WORD FOR IT: THE SYMBOLIC ROLE OF LINGUISTIC STYLE MATCHES IN USER COMMUNITIES,"Stephan Ludwig, Ko  de Ruyter, Dominik  Mahr, Martin  Wetzels, Elisabeth  Bruggen"
BEYOND BEING THERE: THE SYMBOLIC ROLE OF COMMUNICATION AND IDENTIFICATION IN PERCEPTIONS OF PROXIMITY TO GEOGRAPHICALLY DISPERSED COLLEAGUES,"Michael Boyer O'Leary, Jeanne M.  Wilson, Anca  Metiu"
KNOWLEDGE EXCHANGE AND SYMBOLIC ACTION IN SOCIAL MEDIA-ENABLED ELECTRONIC NETWORKS OF PRACTICE: A MULTILEVEL PERSPECTIVE ON KNOWLEDGE SEEKERS AND CONTRIBUTORS,"Roman Beck, Immanuel  Pahlke, Christoph  Seebach"
The IQ of the Crowd: Understanding and Improving Information Quality in Structured User-Generated Content,"Roman Lukyanenko, Jeffrey  Parsons, Yolanda F.  Wiersma"
Feeling Blue? Go Online: An Empirical Study of Social Support Among Patients,"Lu Yan, Yong  Tan"
Effects of ICT Service Innovation and Complementary Strategies on Brand Equity and Customer Loyalty in a Consumer Technology Market,"Xin Xu, James Y. L.  Thong, Viswanath  Venkatesh"
Optimal Management of Digital Content on Tiered Infrastructure Platforms,"Anna Ye Du, Sanjukta  Das, Ram D.  Gopal, Ram  Ramesh"
Lateral Coordination Mechanisms and the Moderating Role of Arrangement Characteristics in Information Systems Development Outsourcing,"S. Balaji, Carol V.  Brown"
Partial Least Squares and Models with Formatively Specified Endogenous Constructs: A Cautionary Note,"Miguel I. Aguirre-Urreta, George M.  Marakas"
Conflating Antecedents and Formative Indicators: A Comment on Aguirre-Urreta and Marakas,"Edward E. Rigdon, Jan-Michael  Becker, Arun  Rai, Christian M.  Ringle, Adamantios  Diamantopoulos, Elena  Karahanna, Detmar W.  Straub, Theo K.  Dijkstra"
A Rejoinder to Rigdon et al. (2014),"Miguel I. Aguirre-Urreta, George M.  Marakas"
"Information, Technology, and the Changing Nature of Work","Chris Forman, John Leslie  King, Kalle  Lyytinen"
"Social Media, Knowledge Sharing, and Innovation: Toward a Theory of Communication Visibility",Paul M. Leonardi
Patient Data as Medical Facts: Social Media Practices as a Foundation for Medical Knowledge Creation,"Jannis Kallinikos, Niccolo  Tempini"
Infrastructuring Work: Building a State-Wide Hospital Information Infrastructure in India,"Margunn Aanestad, Bob  Jolliffe, Arunima  Mukherjee, Sundeep  Sahay"
"Efficacy of R&D Work in Offshore Captive Centers: An Empirical Study of Task Characteristics, Coordination Mechanisms, and Performance","Deepa Mani, Kannan  Srikanth, Anandhi  Bharadwaj"
Doing Business with Strangers: Reputation in Online Service Marketplaces,"Antonio Moreno, Christian  Terwiesch"
Physical and Electronic Wholesale Markets: An Empirical Analysis of Product Sorting and Market Function,"Eric Overby, Sabyasachi  Mitra"
Launching Successful E-Markets: A Broker-Level Order-Routing Analysis of Two Options Exchanges,"Chris Parker, Bruce W.  Weber"
The Impact of Buy-Now Features in Pay-per-Bid Auctions,"Jochen Reiner, Martin  Natter, Bernd  Skiera"
Customized Bundling and Consumption Variety of Digital Information Goods,"Jese C. Bockstedt, Kim Huat  Goh"
Determinants of Mobile Apps' Success: Evidence from the App Store Market,"Gunwoong Lee, T. S.  Raghu"
Gifting and Status in Virtual Worlds,"Sigi Goode, Greg  Shailer, Mark  Wilson, Jaroslaw  Jankowski"
"Digital Piracy, Teens, and the Source of Advice: An Experimental Study","Matthew J. Hashim, Karthik N.  Kannan, Sandra  Maximiano, Jackie Rees  Ulmer"
Collaborative Demand Forecasting: Toward the Design of an Exception-Based Forecasting Mechanism,"Yan Dong, Xiaowen  Huang, Kingshuk K.  Sinha, Kefeng  Xu"
Understanding Employee Responses to Stressful Information Security Requirements: A Coping Perspective,"John D'Arcy, Tejaswini  Herath, Mindy K.  Shoss"
"Relational Contracts, Growth Options, and Heterogeneous Beliefs: A Game-Theoretic Perspective on Information Technology Outsourcing",Xiaotong Li
KNOW YOURSELF AND KNOW YOUR ENEMY: AN ANALYSIS OF FIRM RECOMMENDATIONS AND CONSUMER REVIEWS IN A COMPETITIVE ENVIRONMENT,"Wael Jabr, Zhiqiang (Eric)  Zheng"
DIFFERENTIAL EFFECTS OF PRIOR EXPERIENCE ON THE MALWARE RESOLUTION PROCESS,"Seung Hyun Kim, Byung Cho  Kim"
DIGRESSION AND VALUE CONCATENATION TO ENABLE PRIVACY-PRESERVING REGRESSION,"Xiao-Bai Li, Sumit  Sarkar"
AN ATTRACTION-SELECTION-ATTRITION THEORY OF ONLINE COMMUNITY SIZE AND RESILIENCE,"Brian S. Butler, Patrick J.  Bateman, Peter H.  Gray, E. Ilana  Diamant"
EXPECTATION CONFIRMATION IN INFORMATION SYSTEMS RESEARCH: A TEST OF SIX COMPETING MODELS,"Susan A. Brown, Viswanath  Venkatesh, Sandeep  Goyal"
ESTIMATING RETURNS TO TRAINING IN THE KNOWLEDGE ECONOMY: A FIRM-LEVEL ANALYSIS OF SMALL AND MEDIUM ENTERPRISES,"Amit Mehra, Nishtha  Langer, Ravi  Bapna, Ram  Gopal"
CULTURAL DIFFERENCES AND GEOGRAPHY AS DETERMINANTS OF ONLINE PROSOCIAL LENDING,"Gordon Burtch, Anindya  Ghose, Sunil  Wattal"
EMERGENCE OF POWER LAWS IN ONLINE COMMUNITIES: THE ROLE OF SOCIAL MECHANISMS AND PREFERENTIAL ATTACHMENT,"Steven L. Johnson, Samer  Faraj, Srinivas  Kudaravalli"
DYNAMIC RECONFIGURATION IN PLANETARY EXPLORATION: A SOCIOMATERIAL ETHNOGRAPHY,"Melissa Mazmanian, Marisa  Cohn, Paul  Dourish"
TOWARD GENERALIZABLE SOCIOMATERIAL INQUIRY: A COMPUTATIONAL APPROACH FOR ZOOMING IN AND OUT OF SOCIOMATERIAL ROUTINES,"James Gaskin, Nicholas  Berente, Kalle  Lyytinen, Youngjin  Yoo"
ENTANGLEMENTS IN PRACTICE: PERFORMING ANONYMITY THROUGH SOCIAL MEDIA,"Susan V. Scott, Wanda J.  Orlikowski"
A MATTER OF LIFE AND DEATH: EXPLORING CONCEPTUALIZATIONS OF SOCIOMATERIALITY IN THE CONTEXT OF CRITICAL CARE,Matthew Jones
A TRICHORDAL TEMPORAL APPROACH TO DIGITAL COORDINATION: THE SOCIOMATERIAL MANGLING OF THE CERN GRID,"Will Venters, Eivor  Oborn, Michael  Barrett"
Using Income Accounting as the Theoretical Basis for Measuring IT Productivity,"Dennis O. Kundisch, Neeraj  Mittal, Barrie R.  Nault"
Distinction and Status Production on User-Generated Content Platforms: Using Bourdieu's Theory of Cultural Production to Understand Social Dynamics in Online Fields,"Natalia Levina, Manuel  Arriaga"
Cloud Implications on Software Network Structure and Security Risks,"Terrence August, Marius Florin  Niculescu, Hyoduk  Shin"
"Online Gambling Behavior: The Impacts of Cumulative Outcomes, Recent Outcomes, and Prior Use","Xiao Ma, Seung Hyun  Kim, Sung S.  Kim"
The Central Role of Engagement in Online Communities,"Soumya Ray, Sung S.  Kim, James G.  Morris"
Latent Growth Modeling for Information Systems: Theoretical Extensions and Practical Applications,"Zhiqiang (Eric) Zheng, Paul A.  Pavlou, Bin  Gu"
"The ""Most Popular News"" Recommender: Count Amplification and Manipulation Resistance","Shankar Prawesh, Balaji  Padmanabhan"
An Empirical Analysis of the Impact of Pre-Release Movie Piracy on Box Office Revenue,"Liye Ma, Alan L.  Montgomery, Param Vir  Singh, Michael D.  Smith"
The Allure of Homophily in Social Media: Evidence from Investor Responses on Virtual Communities,"Bin Gu, Prabhudev  Konana, Rajagopal  Raghunathan, Hsuanwei Michelle  Chen"
Industry-Specific Human Capital and Wages: Evidence from the Business Process Outsourcing Industry,"Keongtae Kim, Sunil  Mithas, Jonathan  Whitaker, Prasanto K.  Roy"
Heuristic Theorizing: Proactively Generating Design Theories,"Robert Wayne Gregory, Jan  Muntermann"
Discriminant Analysis with Strategically Manipulated Data,"Juheng Zhang, Haldun  Aytug, Gary J.  Koehler"
Exploring How IT Professionals Experience Role Transitions at the End of Successful Projects,Line Dube
Talk Before It's Too Late: Reconsidering the Role of Conversation in Information Systems Project Management,"Stefano Mastrogiacomo, Stephanie  Misonier, Riccardo  Bonazzi"
Achieving IT Program Goals with Integrative Conflict Management,"James J. Jiang, Jamie Y. T.  Chang, Houn-Gee  Chen, Eric T. G.  Wang, Gary  Klein"
Creating Shared Understanding in Heterogeneous Work Groups: Why It Matters and How to Achieve It,"Eva Alice Christiane Bittner, Jan Marco  Leimeister"
The Impact of Social Network Structures on Prediction Market Accuracy in the Presence of Insider Information,"Liangfei Qiu, Huaxia  Rui, Andrew B.  Whinston"
A Rigidity Detection System for Automated Credibility Assessment,"Nathan W. Twyman, Aaron C.  Elkins, Jude K.  Burgoon, Jr.  Jay F.  Nunamaker"
How Posture-Profile Misalignment in IT Innovation Diminishes Returns: Conceptual Development and Empirical Demonstration,"Robert G. Fichman, Nigel P.  Melville"
How Social Capital Among Information Technology and Business Units Drives Operational Alignment and IT Business Value,"Heinz-Theo Wagner, Daniel  Beimborn, Tim  Weitzel"
User Roles and Contributions in Innovation-Contest Communities,"Johan Fueller, Katja  Hutter, Julia  Hautz, Kurt  Matzler"
Supporting Creative Problem Solving with a Case-Based Reasoning System,"Niek Althuizen, Berend  Wierenga"
DIGITAL INNOVATION AS A FUNDAMENTAL AND POWERFUL CONCEPT IN THE INFORMATION SYSTEMS CURRICULUM,"Robert G. Fichman, Brian L.  Dos Santos, Zhiqiang (Eric)  Zheng"
DATA COLLECTION IN THE DIGITAL AGE: INNOVATIVE ALTERNATIVES TO STUDENT SAMPLES,"Zachary R. Steelman, Bryan I.  Hammer, Moez  Limayem"
THE NATURE AND CONSEQUENCES OF TRADE-OFF TRANSPARENCY IN THE CONTEXT OF RECOMMENDATION AGENTS,"Jingjun (David) Xu, Izak  Benbasat, Ronald T.  Cenfetelli"
"TRUST, SATISFACTION, AND ONLINE REPURCHASE INTENTION: THE MODERATING ROLE OF PERCEIVED EFFECTIVENESS OF E-COMMERCE INSTITUTIONAL MECHANISMS","Yulin Fang, Israr  Qureshi, Heshan  Sun, Patrick  McCole, Elaine  Ramsey, Kai H.  Lim"
AN ECONOMIC ANALYSIS OF ONLINE ADVERTISING USING BEHAVIORAL TARGETING,"Jianqing Chen, Jan  Stallaert"
PROACTIVE VERSUS REACTIVE SECURITY INVESTMENTS IN THE HEALTHCARE SECTOR,"Juhee Kwon, M. Eric  Johnson"
THE BUSINESS OF BEING A USER: THE ROLE OF THE REFERENCE ACTOR IN SHAPING PACKAGED ENTERPRISE SYSTEM ACQUISITION AND DEVELOPMENT,"Neil Pollock, Sampsa  Hyysalo"
THE EFFECTS OF WEB PERSONALIZATION ON USER ATTITUDE AND BEHAVIOR: AN INTEGRATION OF THE ELABORATION LIKELIHOOD MODEL AND CONSUMER SEARCH THEORY,"Shuk Ying Ho, David  Bodoff"
NATURE AND NURTURE: THE IMPACT OF AUTOMATICITY AND THE STRUCTURATION OF COMMUNICATION ON VIRTUAL TEAM BEHAVIOR AND PERFORMANCE,"Valerie L. Bartelt, Alan R.  Dennis"
ANXIOUS OR ANGRY? EFFECTS OF DISCRETE EMOTIONS ON THE PERCEIVED HELPFULNESS OF ONLINE REVIEWS,"Dezhi Yin, Samuel D.  Bond, Han  Zhang"
REFRAMING SUCCESS AND FAILURE OF INFORMATION SYSTEMS: A PERFORMATIVE PERSPECTIVE,"Dubravka Cecez-Kecmanovic, Karlheinz  Kautz, Rebecca  Abrahall"
QUALITY COMPETITION AND MARKET SEGMENTATION IN THE SECURITY SOFTWARE MARKET,"Debabrata Dey, Atanu  Lahiri, Guoying  Zhang"
COORDINATING EXPERTISE ACROSS KNOWLEDGE BOUNDARIES IN OFFSHORE-OUTSOURCING PROJECTS: THE ROLE OF CODIFICATION,"Julia Kotlarsky, Harry  Scarbrough, Ilan  Oshri"
The Disciplines of Information: Lessons from the History of the Discipline of Medicine,David G. Schwartz
Popularity Effect in User-Generated Content: Evidence from Online Product Reviews,"Paulo B. Goes, Mingfeng  Lin, Ching-man Au  Yeung"
A Machine Learning Approach to Improving Dynamic Decision Making,"Georg Meyer, Gediminas  Adomavicius, Paul E.  Johnson, Mohamed  Elidrisi, William A.  Rush, JoAnn M.  Sperl-Hillen, Patrick J.  O'Connor"
Prediction in Economic Networks,"Vasant Dhar, Tomer  Geva, Gal  Oestreicher-Singer, Arun  Sundararajan"
Selling vs. Profiling: Optimizing the Offer Set in Web-Based Personalization,"Monica Johar, Vijay  Mookerjee, Sumit  Sarkar"
Using Personal Communication Technologies for Commercial Communications: A Cross-Country Investigation of Email and SMS,"Chuan-Hoo Tan, Juliana  Sutanto, Chee Wei  Phang, Anar  Gasimov"
"Product Fit Uncertainty in Online Markets: Nature, Effects, and Antecedents","Yili (Kevin) Hong, Paul A.  Pavlou"
Consumer Informedness and Firm Information Strategy,"Ting Li, Robert J.  Kauffman, Eric  van Heck, Peter  Vervest, Benedict G. C.  Dellaert"
Project Managers' Practical Intelligence and Project Performance in Software Offshore Outsourcing: A Field Study,"Nishtha Langer, Sandra A.  Slaughter, Tridas  Mukhopadhyay"
Influence Techniques in Phishing Attacks: An Examination of Vulnerability and Resistance,"Ryan T. Wright, Matthew L.  Jensen, Jason Bennett  Thatcher, Michael  Dinger, Kent  Marett"
How Semantics and Pragmatics Interact in Understanding Conceptual Models,"Palash Bera, Andrew  Burton-Jones, Yair  Wand"
The Influences of Online Service Technologies and Task Complexity on Efficiency and Personalization,"Jingjun (David) Xu, Izak  Benbasat, Ronald T.  Cenfetelli"
"RELIABILITY GENERALIZATION OF PERCEIVED EASE OF USE, PERCEIVED USEFULNESS, AND BEHAVIORAL INTENTIONS","Traci J. Hess, Anna L.  McNab, K. Asli  Basoglu"
COLLABORATION THROUGH OPEN SUPERPOSITION: A THEORY OF THE OPEN SOURCE WAY,"James Howison, Kevin  Crowston"
ENTERPRISE SYSTEM IMPLEMENTATION AND EMPLOYEE JOB PERFORMANCE: UNDERSTANDING THE ROLE OF ADVICE NETWORKS,"Tracy Ann Sykes, Viswanath  Venkatesh, Jonathan L.  Johnson"
EXPLAINING DATA-DRIVEN DOCUMENT CLASSIFICATIONS,"David Martens, Foster  Provost"
"SOCIAL MEDIA, TRADITIONAL MEDIA, AND MUSIC SALES","Sanjeev Dewan, Jui  Ramaprasad"
CONTENT SHARING IN A SOCIAL BROADCASTING ENVIRONMENT: EVIDENCE FROM TWITTER,"Zhan Shi, Huaxia  Rui, Andrew B.  Whinston"
"CONTRIBUTION BEHAVIOR IN VIRTUAL COMMUNITIES: COGNITIVE, EMOTIONAL, AND SOCIAL INFLUENCES","Hsien-Tung Tsai, Richard P.  Bagozzi"
THEORIZATION AND TRANSLATION IN INFORMATION TECHNOLOGY INSTITUTIONALIZATION: EVIDENCE FROM DANISH HOME CARE,"Jeppe Agger Nielsen, Lars  Mathiassen, Sue  Newell"
LEVERAGING PHILANTHROPIC BEHAVIOR FOR CUSTOMER SUPPORT: THE CASE OF USER SUPPORT FORUMS,"Wael Jabr, Radha  Mookerjee, Yong  Tan, Vijay S.  Mookerjee"
SWIFT GUANXI IN ONLINE MARKETPLACES: THE ROLE OF COMPUTER-MEDIATED COMMUNICATION TECHNOLOGIES,"Carol Xiaojuan Ou, Paul A.  Pavlou, Robert M.  Davison"
COMPLEMENTARY ONLINE SERVICES IN COMPETITIVE MARKETS: MAINTAINING PROFITABILITY IN THE PRESENCE OF NETWORK EFFECTS,"Hila Etzion, Min-Seok  Pang"
DISTRIBUTED COGNITION IN SOFTWARE DESIGN: AN EXPERIMENTAL INVESTIGATION OF THE ROLE OF DESIGN PATTERNS AND COLLABORATION,"George Mangalaraj, Sridhar  Nerur, RadhaKanta  Mahapatra, Kenneth H.  Price"
WHAT'S DIFFERENT ABOUT SOCIAL MEDIA NETWORKS? A FRAMEWORK AND RESEARCH AGENDA,"Gerald C. Kane, Maryam  Alavi, Giuseppe (Joe)  Labianca, Stephen P.  Borgatti"
INFORMATION TECHNOLOGY CAPABILITY AND FIRM PERFORMANCE: CONTRADICTORY FINDINGS AND THEIR POSSIBLE CAUSES,"Ho-Chang Chae, Chang E.  Koh, Victor R.  Prybutok"
Neuroscience and a Nomological Network for the Understanding and Assessment of Emotions in Information Systems Research,"Shirley Gregor, Aleck C. H.  Lin, Tom  Gedeon, Amir  Riaz, Dingyun  Zhu"
Putting on the Thinking Cap: Using NeuroIS to Understand Information Processing Biases in Virtual Teams,"Randall K. Minas, Robert F.  Potter, Alan R.  Denis, Valerie  Bartelt, Soyoung  Bae"
Trusting Humans and Avatars: A Brain Imaging Study Based on Evolution Theory,"Rene Riedl, Peter N. C.  Mohr, Peter H.  Kening, Fred D.  Davis, Hauke R.  Hekeren"
Enhancing User-Game Engagement Through Software Gaming Elements,"Mengxiang Li, Qiqi  Jiang, Chuan-Ho  Tan, Kwok-Kee  Wei"
Informational and Normative Social Influence in Group-Buying: Evidence from Self-Reported and EEG Data,"Kevin K. Y. Kuan, Yingqin  Zhong, Patrick Y. K.  Chau"
Explicit and Implicit Antecedents of Users' Behavioral Beliefs in Information Systems: A Neuropsychological Investigation,"Ana Ortiz de Guinea, Ryad  Titah, Pierre-Majorique  Leger"
Guidelines for Neuroscience Studies in Information Systems Research,"Jan vom Brocke, Ting-Peng  Liang"
Effects of Social Networks on Prediction Markets: Examination in a Controlled Experiment,"Liangfei Qiu, Huaxia  Rui, Andrew B.  Whinston"
Forming Interoperability Through Interorganizational Systems Standards,"Kexin Zhao, Mu  Xia"
Differential Effects of Keyword Selection in Search Engine Advertising on Direct and Indirect Sales,"Xianghua Lu, Xia  Zhao"
Information Technology-Enabled Business Models: A Conceptual Framework and a Coevolution Perspective for Future Research,"Arun Rai, Xinlin  Tang"
Evaluation of Competing Candidate Solutions in Electronic Networks of Practice,"Thomas O. Meservy, Matthew L.  Jensen, Kelly J.  Fadel"
How to Attract and Retain Readers in Enterprise Blogging?,"Param Vir Singh, Nachiketa  Sahoo, Tridas  Mukhopadhyay"
Measuring Information Technology Spillovers,"Prasanna Tambe, Lorin M.  Hitt"
IT-Enabled Coordination for Ambidextrous Interorganizational Relationships,"Ghiyoung Im, Arun  Rai"
Online Product Reviews: Implications for Retailers and Competing Manufacturers,"Young Kwark, Jianqing  Chen, Srinivasan  Raghunathan"
