,TI,AB,AF,PY,VL,IS,DE,BP-EP,SO
737,Personality Characteristics of MIS Project Teams:  An Empirical Study and Action-Research Design,"Information systems for large firms are typically designed by a team comprised of both users and systems personnel. The Management Information System (MIS) literature discusses a communication gap between the organization oriented users and the more technical systems staff.It is often hypothesized that systems personnel and users are different in terms of personality and behavior characteristics and that these differences are one of the primary reasons for the existence of a communication gap. This article summarizes a two-phased study. The first phase investigated personality characteristics of respondents from thirty-two large organizations who worked on design teams. The second phase examines, in detail, a system success and failure in one organization. Analysis was performed to see if there are significant differences on personality dimensions between users and systems personnel and to explore the relationship between these differences and system success. An operationalization of Jung’s personality typology (Myers-Briggs Type indicator) was employed.The results show that the users involved in the systems design are very similar to their systems counterparts. Even more surprising is that the characteristics of these users are closer to the popular descriptions of systems staff than the analysts are. They also suggest that these similarities in personality types may have an impact on system success. The general implications of these findings in terms of the management of project teams and the MIS designs they create are discussed.","Kate M. Kaiser, Robert P. Bostrom",1982,6,4,"information systems, cognitive style, socio-technical systems, communication gap, MIS design, user involvement, action-research",43-60,MIS Quarterly
738,Pirates in the Lab:  Using Incentivized Choice Experiments to Explore Preference for (Un)Authorized Content,"In this paper, we report on a laboratory experiment aimed at investigating factors affecting choice between different versions of a full-length movie.  In particular, we are able to pin down the willingness to pay for a legal, rather than pirated, copy and compare it to the impact of such characteristics as picture quality or delay in delivery.  We find a modest but highly significant preference for the authorized version.  We also find that when the proceeds from legal sales are transferred to a good cause, willingness to pay for the unauthorized copy is reduced.  Our method does not seem to suffer from hypothetical bias2/25/16","Piotr Ćwiakowski, Marek Giergiczny, Michał Krawczyk",2016,40,3,"Digital piracy, choice experiments",709-715,MIS Quarterly
739,*SIM Competition Paper:*  Planning and Managing a Corporate Network Utility,"This paper describes the processes used by Digital Equipment Corporation in planning and managing its worldwide networks.  As a corporate communications utility that has evolved into a strategic and tactical business tool, it I a critical success factor in today’s business environment.  It is designed with an open architecture for easy adaptability to growth and change.  Descriptions of the network planning and management strategies and techniques demonstrate how DIGITAL meets its voice, data, and video requirements.  This paper makes recommendations on how to plan for and manage a network utility with no disruption of day-to-day business operations.","Wayne A. Hall, Robert E. McCauley",1987,11,4,"Data communications, distributed networks, network management, distributed applications, pricing and resource allocation, centralization/decentralization",437-449,MIS Quarterly
740,"Planning, Critical Success Factors, and Management's Information Requirements","Focusing on a manager’s goals and critical success factors has been advocated as an approach to defining senior and middle managers’ information requirements. In this article a field study is described in which the planning processes in a corporation were used as a mechanism for identifying goals, critical success factors and performance measures and standards, i.e., information requirements for managerial control. A general approach generated from the field study is described and the advantages and disadvantages of the approach are analyzed.","Malcolm C. Munro, Basil R. Wheeler",1980,4,4,"information requirements, information analysis, critical success factors, systems analysis, management control, planning",27-38,MIS Quarterly
741,Planning for MIS:  A Decision-Oriented Approach,"The concept of using critical decisions as a basis for defining information needs has been suggested by several authors. This article reports on results of a decision-oriented approach to planning for MIS. A structured group process is used to generate both critical decisions and information needs for a manufacturing firm. Results indicate that the decision approach is effective, particularly for organizational units that re line oriented.","John C. Henderson, John M. West, Jr.",1979,3,2,"MIS planning, information requirements analysis, nominal group technique",45-58,MIS Quarterly
742,"Plant Information Systems, Manufacturing Capabilities, and Plant Performance","Firms have been investing over $5 billion a year in recent years on new information technology and software in their manufacturing plants.  In this study, we develop a conceptual model based on the theory of dynamic capabilities to study how manufacturing plants realize improvements in plant performance by leveraging plant information systems to enable implementation of advanced manufacturing capabilities.  We develop hypotheses about relationships between information systems, their impact on manufacturing practices, and the overall impact on plant performance.  Analysis of survey data from 1,077 U.S. manufacturing plants provides empirical support for the dynamic capabilities model and suggests that manufacturing capabilities mediate the impact of information systems on plant performance.  Our results underscore the importance of manufacturing and organizational capabilities in studying the impact of IT on manufacturing plant productivity, and provide a sharper theoretical lens to evaluate their impact.","Rajiv D. Banker, Indranil R. Bardhan, Hsihui Chang, Shu Lin",2006,30,2,"Manufacturing capabilities, information systems, resource planning systems, electronic data interchange, just-in-time manufacturing",315-337,MIS Quarterly
743,Platform Ecosystems:  How Developers Invert the Firm,"For a period starting in 2015, Apple, Google, and Microsoft became the most valuable companies in the world.  Each was marked by an external developer ecosystem.  Anecdotally, at least, developers matter.  Using a formal model of code spillovers, we show how a rising number of developers can invert the firm.  That is, firms will choose to innovate using open external contracts in preference to closed vertical integration.  The locus of value creation moves from inside the firm to outside.  Distinct from physical goods, digital goods afford firms the chance to optimize spillovers.  Further, firms that pursue high risk innovations with more developers can be more profitable than firms that pursue low risk innovations with fewer developers.  More developers give platform firms more chances at success.  Our contribution is to show why developers might cause a shift in organizational form and to provide a theory of how platform firms optimize their own intellectual property regimes in order to maximize growth.  We use stylized facts from multiple platform firms to illustrate our theory and results.9/29/16","Geoffrey Parker, Marshall Van Alstyne, Xiaoyue Jiang",2017,41,01,"Open innovation, sequential innovation, platforms, R&D spillovers, intellectual property, network effects, network externalities, bundling, two-sided networks, two-sided markets, vertical integration, standard setting organizations, platform",255-266,MIS Quarterly
744,Polarization and Persuasive Argumentation:  A Study of Decision Making in Group Settings,"This research focuses on group decision making from both an outcome and a process-based perspective. This study draws from the well-established literature of group polarization, as well as the growing body of GSS literature, to develop a model to study group polarization in a contemporary communication context. The proposed model focuses on communication medium, task characteristics, group composition, and their interaction as explanations for the outcome of group polarization and the process that precedes it. An experimental research method is used to test the relationships suggested by the model. In this study, group polarization is recorded by comparing decisions at the individual level, face-to-face group settings, and GSS mediated settings. The initial agreement index indicates the diversity of individual stances within the group. This index is used as a covariate to enhance understanding of the extent of group polarization. The group process is documented by protocol analyzing transcriptions of the FTF and GSS group sessions for persuasive content. A 2x2x2 factorial design was used to analyze the results. The analysis indicates that for both process and outcomes, the medium of communication and task characteristics interact with one another to provide the dominant explanation. Surprisingly, group composition had no impact on either polarization or persuasive arguments. The findings reported in this study are of importance to organizations that increasingly rely on groups as units of decision making. The results also provide insight to researchers of group decision making and to future developers and users of group support systems.","Maha El-Shinnawy, Ajay S. Vinze",1998,22,2,"Group polarization, choice shifts, group support systems",165-198,MIS Quarterly
745,Positioning and Presenting Design Science Research for Maximum Impact,"Design science research (DSR) has staked its rightful ground as an important and legitimate Information Systems (IS) research paradigm.  We contend that DSR has yet to attain its full potential impact on the development and use of information systems due to gaps in the understanding and application of DSR concepts and methods.  This essay aims to help researchers (1) appreciate the levels of artifact abstractions that may be DSR contributions, (2) identify appropriate ways of consuming and producing knowledge when they are preparing journal articles or other scholarly works, (3) understand and position the knowledge contributions of their research projects, and (4) structure a DSR article so that it emphasizes significant contributions to the knowledge base.  Our focal contribution is the DSR knowledge contribution framework with two dimensions based on the existing state of knowledge in both the problem and solution domains for the research opportunity under study.  In addition, we propose a DSR communication schema with similarities to more conventional publication patterns, but which substitutes the description of the DSR artifact in place of a traditional results section. We evaluate the DSR contribution framework and the DSR communication schema via examinations of DSR exemplar publications.","Shirley Gregor, Alan R. Hevner",2013,37,2,"Design science research (DSR), knowledge, design artifact, knowledge contribution framework, publication schema, information systems, computer science discipline, engineering discipline, DSR theory",337-355,MIS Quarterly
746,Power and Concession in Computer-Mediated Negotiations: An Examination of First Offers,"Negotiation is increasingly being conducted over computer media, such as e-mail and instant messaging, because of the potential for time savings and monetary benefits.  However, these media can affect negotiators’ behaviors as they engage in what is called concession making, which is a process by which they make offers that yield benefits to their opponents.  In this paper, we focus on how and why conducting negotiations via computer media can affect this process, especially when negotiators have unequal power.  Our research model is based on theories from the information systems, negotiation, and social psychology literatures.  Via a laboratory experiment, we find that concessions made by the first individual to make an offer (the first mover) were not typically reciprocated by his/her negotiating opponent (the second mover).  Thus, in the context of computer-mediated negotiation, it appears that second movers are, among other things, more likely to violate the well-established norm of reciprocity.  This can result in significant disadvantages for the first mover, independent of power differences between negotiators.  In addition, we find that, contrary to face-to-face negotiations, increased power of one negotiator resulted in his/her having less influence in terms of getting larger concessions from the other negotiator.  In general, these findings support the notion that computer-mediated negotiation can be significantly different than face-to-face negotiation.","Norman A. Johnson, Randolph B. Cooper",2009,33,1,"Computer-mediated negotiation, instant messaging (IM), first offers, power, cooperation theory, concession, reciprocity norm",147-170,MIS Quarterly
747,"Power, Rationality, and the Art of Living Through Socio-Technical Change","Most information systems research takes for granted the assumption that IS practice and associated organizational change can be effectively understood as a process of technical reasoning and acting governed by a mix of concerns about software construction, administrative control, and economic gain.  Its mission has been to empower managers, IS engineers, and information and communication technology users with knowledge and techniques for effective decision making.  However, empirical research frequently encounters human activity that is at odds with the assumed pattern of rational behavior.  Recent work tries to explain behavior in IS and organizational change in terms of social processes rather than as a consideration of rational techniques of professional practice.  In this paper we address this ambivalence of the IS field with regard to technical/rational knowledge and practice.  We draw from the theoretical work of Michel Foucault on power/knowledge and the aesthetics of existence to argue that the rational techniques of IS practice and the power dynamics of an organization and its social context are closely intertwined, requiring each other to be sustained.  Furthermore, we develop a context-specific notion of rationality in IS innovation, through which interested parties judge the value of an innovation for their lives and consequently support or subvert its course.  We demonstrate these ideas with a case study of a social security organization in Greece.","Chrisanthi Avgerou, Kathy McGrath",2007,31,2,"Rationality, IS innovation, power/knowledge, regime of truth, aesthetics of existence, techniques of the self",295-315,MIS Quarterly
748,Powers-of-Ten Information Biases,"Powers-of-ten information biases arise when recurring numeric information is consistently inflated or deflated by a power of ten.  Such biases are difficult to detect because the information stream is internally consistent and external verification is impeded.  This study confirms earlier findings that information bias detection rates are low.  It extends those findings by demonstrating that bias detection does not increase significantly with bias magnitude or specific detection instructions, two often-suggested detection factors.  Bias detectors do, however, employ more effective misinformation search and verification strategies than non-detectors.  Therefore, IS research should investigate other strategies as well as the possibility that information biases contribute to poor decisions and dissatisfaction with information systems.",John A. Ricketts,1990,14,1,"Information bias, information error, information systems management and control, decision support systems, information theory, empirical findings, experimental results, risk, systems analysis and design",63-77,MIS Quarterly
749,Practicing Safe Computing:  A Multimedia Empirical Examination of Home Computer User Security Behavioral Intentions,"Although firms are expending substantial resources to develop technology and processes that can help safeguard the security of their computing assets, increased attention is being focused on the role people play in maintaining a safe computing environment.  Unlike employees in a work setting, home users are not subject to training, nor are they protected by a technical staff dedicated to keeping security software and hardware current.  Thus, with over one billion people with access to the Internet, individual home computer users represent a significant point of weakness in achieving the security of the cyber infrastructure.  We study the phenomenon of conscientious cybercitizens, defined as individuals who are motivated to take the necessary precautions under their direct control to secure their own computer and the Internet in a home setting.  Using a multidisciplinary, phased approach, we develop a conceptual model of the conscientious cybercitizen.  We present results from two studies—a survey and an experiment—conducted to understand the drivers of intentions to perform security-related behavior, and the interventions that can positively influence these drivers.  In the first study, we use protection motivation theory as the underlying conceptual foundation and extend the theory by drawing upon the public goods literature and the concept of psychological ownership.  Results from a survey of 594 home computer users from a wide range of demographic and socio-economic backgrounds suggest that a home computer user’s intention to perform security-related behavior is influenced by a combination of cognitive, social, and psychological components.  In the second study, we draw upon the concepts of goal framing and self-view to examine how the proximal drivers of intentions to perform security-related behavior identified in the first study can be influenced by appropriate messaging.  An experiment with 101 subjects is used to test the research hypotheses.  Overall, the two studies shed important new light on creating more conscientious cybercitizens.  Theoretical and practical implications of the findings are discussed.","Catherine L. Anderson, Ritu Agarwal",2010,34,3,"Behavioral security, protection motivation, home computer user, goal framing, self-view, survey, experiment",613-643,MIS Quarterly
750,Pragmatic Perspectives on the Measurement of Information Systems Service Quality,"In this research note, we join the debate between Van Dyke, Kappelman, and Prybutok, and Pitt, Watson, and Kavan pertaining to the conceptual and empirical relevance of SERVQUAL as a measure of IS service quality. Adopting arguments from marketing, Van Dyke et al. (1997) question the SERVQUAL gap measurement approach, the interpretation and operationalization of the SERVQUAL expectation construct, and the reliability and validity of SERVQUAL dimensionality. In a response to those arguments, Pitt et al. (1997) defend their previous work (1995) in a point-by- point counterargument that suggests that the marginal empirical benefit of a perceptual-based (SERVPERF) service quality measure does not justify the loss of managerial diagnostic capabilities found in a gap measure. While siding with many of the positions taken by Pitt et al., we attempt to add value to the debate by presenting discrepancies we have with the two other research teams and by suggesting alternative approaches to resolve, or at least alleviate, problems associated with SERVQUAL. We believe that the theoretical superiority of an alternative IS service quality measure should be backed by empirical evidence in the IS context, hence, answering some of the criticism Van Dyke et al. and by offering a construct valid version of the IS-adapted SERVQUAL. From a pragmatic viewpoint, we believe that the justification of using SERVQUAL’s gap measure should be driven by more effective ways to utilize expectations in IS service management. To this end, we introduce the newer Parasuraman et al. (1994b) measures, the concept of a ""zone of tolerance"" for expectation management and an illustration of its practical use in an IS setting. Overall, we attempt to set the direction of where we think this debate should lead the IS field, namely, toward practical and timely IS service quality measures.","William J. Kettinger, Choong C. Lee",1997,21,2,"IS service quality, measurement, SERVQUAL, SERVPREF, IS management, evaluation, user expectations",223-240,MIS Quarterly
751,"Predicting Different Conceptualizations of System Use: The Competing Roles of Behavioral Intention, Facilitating Conditions, and Behavioral Expectation","Employees’ underutilization of new information systems undermines organizations’ efforts to gain benefits from such systems.  The two main predictors of individual-level system use in prior research—behavioral intention and facilitating conditions—have limitations that we discuss.  We introduce behavioral expectation as a predictor that addresses some of the key limitations and provides a better understanding of system use.  System use is examined in terms of three key conceptualizations:  duration, frequency, and intensity.  We develop a model that employs behavioral intention, facilitating conditions, and behavioral expectation as predictors of the three conceptualizations of system use.  We argue that each of these three determinants play different roles in predicting each of the three conceptualizations of system use.  We test the proposed model in the context of a longitudinal field study of 321 users of a new information system.  The model explains 65 percent, 60 percent, and 60 percent of the variance in duration, frequency, and intensity of system use respectively.  We offer theoretical and practical implications for our findings.","Viswanath Venkatesh, Susan A. Brown, Likoebe M. Maruping, Hillol Bala",2008,32,3,"Technology adoption, user acceptance, system use, behavioral expectation, behavioral intention, facilitating conditions, duration of use, frequency of use, intensity of use",483-502,MIS Quarterly
752,Predicting Intention to Adopt Interorganizational Linkages:  An Institutional Perspective,"This study used institutional theory as a lens to understand the factors that enable the adoption of interorganizational systems. It posits that mimetic, coercive, and normative pressures existing in an institutionalized environment could influence organizational predisposition toward an information technology-based interorganizational linkage. Survey-based research was carried out to test this theory. Following questionnaire development, validation, and pretest with a pilot study, data were collected from the CEO, the CFO, and the CIO to measure the institutional pressures they faced and their intentions to adopt financial electronic data interchange (FEDI). A firm-level structural model was developed based on the CEO’s, the CFO’s, and the CIO’s data. LISREL and PLS were used for testing the measurement and structural models respectively. Results showed that all three institutional pressures— mimetic pressures, coercive pressures, and normative pressures—had a significant influence on organizational intention to adopt FEDI. Except for perceived extent of adoption among suppliers, all other subconstructs were significant in the model. These results provide strong support for institutional-based variables as predictors of adoption intention for interorganizational linkages. These findings indicate that organizations are embedded in institutional networks and call for greater attention to be directed at understanding institutional pressures when investigating information technology innovations adoption.","H. H. Teo, K. K. Wei, I. Benbasat",2003,27,1,"Financial electronic data interchange, interorganizational systems, institutional influences, mimetic pressures, coercive pressures, normative pressures",19-49,MIS Quarterly
753,Predictive Analytics in Information Systems Research,"This research essay highlights the need to integrate predictive analytics into information systems research and shows several concrete ways in which this goal can be accomplished.  Predictive analytics include empirical methods (statistical and other) that generate data predictions as well as methods for assessing predictive power.  Predictive analytics not only assist in creating practically useful models, they also play an important role alongside explanatory modeling in theory building and theory testing.  We describe six roles for predictive analytics:  new theory generation, measurement development, comparison of competing theories, improvement of existing models, relevance assessment, and assessment of the predictability of empirical phenomena.  Despite the importance of predictive analytics, we find that they are rare in the empirical IS literature.  Extant IS literature relies nearly exclusively on explanatory statistical modeling, where statistical inference is used to test and evaluate the explanatory power of underlying causal models, and predictive power is assumed to follow automatically from the explanatory model.  However, explanatory power does not imply predictive power and thus predictive analytics are necessary for assessing predictive power and for building empirical models that predict well.  To show that predictive analytics and explanatory statistical modeling are fundamentally disparate, we show that they are different in each step of the modeling process.  These differences translate into different final models, so that a pure explanatory statistical model is best tuned for testing causal hypotheses and a pure predictive model is best in terms of predictive power.  We convert a well-known explanatory paper on TAM to a predictive context to illustrate these differences and show how predictive analytics can add theoretical and practical value to IS research.","Galit Shmueli, Otto R. Koppius",2011,35,3,"Prediction, causal explanation, theory building, theory testing, statistical model, data mining, modeling process",553-572,MIS Quarterly
754,Preparing IS Students to Deal with Ethical Issues,"The recent series of ethics violations in business (e.g., insider trading) has caused a number of firms to begin courses in ethics for employees.  Unless professionals improve their ethical practices, legislation will force them to do so.  The ACM and DPMA curriculum recommendations include ethics topics.  An important issue is the proper education of IS students to deal with on-the-job ethical situations.  Unfortunately, ethics education gets lost among the myriad of subjects to be taught in IS courses.  But there is an effective pedagogical approach for this material.  The approach requires students to determine how they would act in various ethical scenarios.  This “personalization” method may be the first step toward proper ethical behavior in the workplace. While not a rigorous scientific treatment of the subject, the classroom experiences reported here may be helpful for IS faculty and IS trainers as they develop improved ethics instruction.",J. Daniel Couger,1989,13,2,"Ethics, training",211-218,MIS Quarterly
755,Price and Value of Decision Support Systems,"A two-dimensional framework for Decision Support Systems (DSS) cost-benefit analysis is proposed.  One dimension reflects the degree to which the supported decision is structured, the level of managerial activity, the level of uncertainty and the source of information used, while the second dimension classifies DSS based on the phase of the supported decision according to Simon’s model for the decision-making process.  The review of the current literature reconciles some of the contradictory findings in the DSS cost-benefit literature, and shows that the adequacy of the valuation method depends on the attributes of the system.  The main DSS valuation issues are identified, and the paper discusses the potential gap between price (determined by estimated cost or the market) and the value (which is subjective).  The magnitude of this gap is found to be correlated with the extent to which the supported decisions are structured.","Dan R. Pieptea, Evan Anderson",1987,11,4,"Decision support systems, selection, pricing, valuation, cost-benefit analysis",515-528,MIS Quarterly
756,Price Discrimination in E-Commerce?  An Examination of Dynamic Pricing in Name-Your-Own Price Markets,"The enhanced abilities of online retailers to learn about their customers’ shopping behaviors have increased fears of dynamic pricing, a practice in which a seller sets prices based on the estimated buyer’s willingness-to-pay.  However, among online retailers, a deviation from a one-price-for-all policy is the exception.  When price discrimination is observed, it is often in the context of customer outrage about unfair pricing.One setting where pricing varies is the name-your-own-price (NYOP) mechanism.  In contrast to a typical retail setting, in NYOP markets, it is the buyer who places an initial offer.  This offer is accepted if it is above some threshold price set by the seller.  If the initial offer is rejected, the buyer can update her offer in subsequent rounds.  By design, the final purchase price is opaque to the public; the price paid depends on the individual buyer’s willingness-to-pay and offer strategy.  Further, most forms of NYOP employ a fixed threshold price policy.In this paper, we compare a fixed threshold price setting with an adaptive threshold price setting.  A seller who considers an adaptive threshold price has to weigh potentially greater profits against customer objections about the perceived fairness of such a policy.  We first derive the optimal strategy for the seller.  We analyze the effectiveness of an adaptive threshold price vis-à-vis a fixed threshold price on seller profit and customer satisfaction.  Further, we evaluate the moderating effect of revealing the threshold price policy (adaptive versus fixed) to buyers.  We test our model in a series of laboratory experiments and in a large field experiment at a prominent NYOP seller involving real purchases. Our results show that revealing the usage of an adaptive mechanism yields higher profits and more transactions than not revealing this information.  In the field experiment, we find that applying a revealed adaptive threshold price can increase profits by over 20 percent without lowering customer satisfaction.","Oliver Hinz, Il-Horn Hann, Martin Spann",2011,35,1,"Name-your-own-price, bargaining games, dynamic pricing, electronic commerce, customer satisfaction",81-98,MIS Quarterly
757,Price Effects in Online Product Reviews:  An Analytical Model and Empirical Analysis,"Consumer reviews may reflect not only perceived quality but also the difference between quality and price (perceived value).  In markets where product prices change frequently, these price-influenced reviews may be biased as a signal of product quality when used by consumers possessing no knowledge of historical prices.  In this paper, we develop an analytical model that examines the impact of price-influenced reviews on firm optimal pricing and consumer welfare.  We quantify the price effects in consumer reviews for different formats of review systems using actual market prices and online consumer ratings data collected for the digital cameramarket.  Our empirical results suggest that unidimensional ratings, commonly used in most review systems, can be substantially biased by price effects.  In fact, unidimensional ratings are more closely correlated with ratings of product value than ratings of product quality.  Our findings suggest the importance for firms to account for these price effects in their overall marketing strategy and suggest that review systems could better serve consumers by explicitly expanding review dimensions to separate perceived value and perceived quality.","Xinxin Li, Lorin M. Hitt",2010,34,4,"Online product reviews, review bias, price effects, empirical analysis, optimal pricing",809-831,MIS Quarterly
758,Principles for Conducting Critical Realist Case Study Research in Information Systems,"Critical realism is emerging as a viable philosophical paradigm for conducting social science research, and has been proposed as an alternative to the more prevalent paradigms of positivism and interpretivism.  Few papers, however, have offered clear guidance for applying this philosophy to actual research methodologies. Under critical realism, a causal explanation for a given phenomenon is inferred by explicitly identifying the means by which structural entities and contextual conditions interact to generate a given set of events. Consistent with this view of causality, we propose a set of methodological principles for conducting and evaluating critical realism-based explanatory case study research within the information systems field.  The principles are derived directly from the ontological and epistemological assumptions of critical realism.  We demonstrate the utility of each of the principles through examples drawn from existing critical realist case studies.  The article concludes by discussing the implications of critical realism based research for IS research and practice.","Donald Wynn, Jr., Clay K. Williams",2012,36,3,"Critical realism, case study research, methodology, philosophy, causal explanation",787-810,MIS Quarterly
759,Privacy and Big Data:  Scalable Approaches to Sanitize Large Transactional Databases for Sharing,"Scalability and privacy form two critical dimensions that will eventually determine the extent of the success of big data analytics.  We present scalable approaches to address privacy concerns when sharing transactional databases.  Although the benefits of sharing are well documented and the number of firms sharing transactional data has increased over the years, the rate at which this number has grown is not quite what it could have been. Concerns about revealing proprietary information have prevented some retailers from sharing, despite the obvious advantages in an increasingly networked economy.  In the context of sharing transactional data, sensitive information is typically based on relationships derived from frequently occurring itemsets, result of surprisingly successful promotions by the retailer, or unexpected relationships identified by the retailer while mining the data.  Prior work in this area includes optimal approaches based on integer programming to maximize the accuracy of shared databases, while hiding all sensitive itemsets.  While these approaches were shown to solve problems involving up to 10 million transactions, many transactional databases in the big data context are considerably larger and the existing integer programming-based procedures do not scale well enough to solve these larger problems.  Consequently, there is no effective solution procedure for such databases in extant literature.		In this paper, we first present an optimal procedure leveraging intuition from linear programming based column generation.  Next, we identify a common structure that exists in these problems, and show how it can be taken advantage of through an approach based on sorting and column generation to make the process more efficient.  We then illustrate how this structure can be incorporated into the column generation based procedure to develop an effective, scalable heuristic.  Computational experiments are conducted on databases with 50 million and 100 million transactions, involving problems that could not be solved using existing optimal procedures.  These experiments show that the optimal column generation based procedure can solve problem instances significantly larger than those tackled previously, and that the scalable heuristic identifies near-optimal solutions quickly in all instances where the optimal solution is known.  We investigate the impact of hiding sensitive itemsets on the quality of a rule-based recommender system derived from the shared data.  As expected, recommendation quality decreases as the number of sensitive itemsets increases; however, recommendation accuracy stays above 80% of the original rate when using the unmodified data even when there are 1,000 sensitive itemsets to hide.  The effect on recommendation accuracy from using the heuristic relative to the optimal approach was very small:  the accuracies with the heuristic were over 97% of the corresponding accuracies with the optimal approach in every experiment, and over 99% in the vast majority.06/01/16","Syam Menon, Sumit Sarkar",2016,40,4,"Data quality, optimization, column generation, itemset hiding, recommendation quality",963-981,MIS Quarterly
760,Privacy in the Digital Age:  A Review of Information Privacy Research in Information Systems,"Information privacy refers to the desire of individuals to control or have some influence over data about themselves.  Advances in information technology have raised concerns about information privacy and its impacts, and have motivated Information Systems researchers to explore information privacy issues, including technical solutions to address these concerns.  In this paper, we inform researchers about the current state of information privacy research in IS through a critical analysis of the IS literature that considers information privacy as a key construct.  The review of the literature reveals that information privacy is a multilevel concept, but rarely studied as such.  We also find that information privacy research has been heavily reliant on student-based and USA-centric samples, which results in findings of limited generalizability.  Information privacy research focuses on explaining and predicting theoretical contributions, with few studies in journal articles focusing on design and action contributions.  We recommend that future research should consider different levels of analysis as well as multilevel effects of information privacy.  We illustrate this with a multilevel framework for information privacy concerns.  We call for research on information privacy to use a broader diversity of sampling populations, and for more design and action information privacy research to be published in journal articles that can result in IT artifacts for protection or control of information privacy.","France Belanger, Robert E. Crossler",2011,35,4,"Information privacy, privacy, level of analysis, information privacy framework, information privacy concerns",1017-1041,MIS Quarterly
761,Proactive Versus Reactive Security Investments in the Healthcare Sector,"This study identifies the effects of security investments that arise from previous failures or external regulatory pressure.  Building on organizational learning theory, the study focuses on the healthcare sector where legislation mandates breach disclosure and detailed data on security investments are available.  Using a Cox proportional hazard model, we demonstrate that proactive security investments are associated with lower security failure rates.  Coupling that result with the economics of breach disclosure, we also show that proactive investments are more cost effective in healthcare security than reactive investments.  Our results further indicate that this effect is amplified at the state level, supporting the argument that security investments create positive externalities.  We also find that external pressure decreases the effect of proactive investments on security performance.  This implies that proactive investments, voluntarily made, have more impact than those involuntarily made.  Our findings suggest that security managers and policy makers should pay attention to the strategic and regulatory factors influencing security investment decisions.6/27/13","Juhee Kwon, M. Eric Johnson",2014,38,2,"Security investment, organizational learning, proactive, reactive, healthcare",451-471,MIS Quarterly
762,Problems and Issues in the Management of International Data Communications Networks:  The Experiences of American Companies,"The trend toward global competition is increasing the importance of international data communications networks.  Indeed, many executives believe such networks are critical to their company’s future success.  The challenge for these companies is to successfully establish and manage a global network to facilitate the transfer of data across international borders.  Prior to this study, however, little was known about the problems involved with developing a global network or about the factors contributing to their success.  A survey of American companies indicates that the major problems encountered with global networks are technical in nature, related primarily to the quality of foreign telephone network services.  These technical problems, however, are exacerbated by politically imposed constraints that are strict firms’ options for managing their global network.  Respondents also express concern about the lack of adequate top management to support to deal with the problems involved in running a global network.  The study also finds that both management policies and firm characteristics that affect the successful operation of a global transfer are more satisfied with their networks than are firms that d not have such a help center.  In addition, firms that use their networks to exchange data with outside parties (e.g., customers or suppliers0 are also more satisfied with their networks than are firms that only exchange data internally.","Paul John Steinbart, Ravinder Nath",1992,16,1,"Global networks, international data communications transborder data flow",55-76,MIS Quarterly
763,Process Grammar as a Tool for Business Process Design,"The space of design alternatives for a business process is typically very large, with technology, location, and other factors combining to generate seemingly endless possibilities.  This paper introduces a set of artifacts that support process designers in their efforts to manage this critical business problem:  (1) a grammar-based method to generate and manage business process design alternatives and (2) a software prototype that provides support for the use of this method.  The method and prototype software are demonstrated with a grammar for a sales process.  The method improves on existing approaches by offering the generative power of grammar-based methods while addressing the principal challenge to using such approaches in the design of business processes:  the limitations on automated evaluation of alternatives and thus the need to provide designers with tools to manage the potentially overwhelming array of choices generated by design grammars.","Jintae Lee, George M. Wyner, Brian T. Pentland",2008,32,4,"Design science, process design, design space, business process design, business process reengineering, business process alternative generation, grammatical approach, grammar-based design",757-778,MIS Quarterly
764,Process Tracing Methods in Decision Support Systems Research:  Exploring the Black Box,"An overview is provided of the applicability to DSS research of process tracing methodologies in general, and verbal protocol analysis in particular.  Rationale is developed for why process tracing methods are an important addition to the inventory of methodologies available to researchers, stressing the need to explore the “black box” of decision processes.  A variety of process tracing methods are presented, along with their relative strengths and weaknesses.  Verbal protocol analysis is discussed as a particularly promising method for use in DSS research.  The nature of verbal protocols is outlined and methods for analysis are reviewed.  The criticisms of this method and the controversy surrounding its use are discussed, and an assessment of the validity of these criticisms is provided.  Finally, areas of DSS research in which protocols may prove valuable are identified and relevant studies are examined.","Peter Todd, Izak Benbasat",1987,11,4,"Protocol analysis, data collection, data analysis, research methods, decision support systems",493-512,MIS Quarterly
765,Product-Related Deception in E-Commerce:  A Theoretical Perspective,"With the advent of e-commerce, the potential of new Internet technologies to mislead or deceive consumers has increased considerably.  This paper extends prior classifications of deception and presents a typology of product-related deceptive information practices that illustrates the various ways in which online merchants can deceive consumers via e-commerce product websites.  The typology can be readily used as educational material to promote consumer awareness of deception in e-commerce and as input to establish benchmarks for good business practices for online companies.  In addition, the paper develops an integrative model and a set of theory-based propositions addressing why consumers are deceived by the various types of deceptive information practices and what factors contribute to consumer success (or failure) in detecting such deceptions.  The model not only enhances our conceptual understanding of the phenomenon of product-based deception and its outcomes in e-commerce but also serves as a foundation for further theoretical and empirical investigations.  Moreover, a better understanding of the factors contributing to or inhibiting deception detection can also help government agencies and consumer organizations design more effective solutions to fight online deception.","Bo Xiao, Izak Benbasat",2011,35,1,"Product-based information practices, electronic commerce, typology, stimulus–organism–response framework, model of deception detection",169-195,MIS Quarterly
