,AF,TI,DE,AB,SO,VL,PY,IS,BP,EP
805, Moutaz Khouja;  Sungjune Park,Optimal Pricing of Digital Experience Goods Under Piracy, digital experience goods;  information goods piracy;  music and movie piracy;  online piracy;  pricing;  social welfare,"Piracy of digital experience goods such as music recordings has received increased attention in the literature. Much of this research has focused on pricing policies, protection against piracy, and governmental policies in the software industry. In this research, we focus on pricing policies of producers of digital experience goods. We consider a heterogeneous consumer market with different segments, each having a different affinity to piracy. We analyze the effect of different producer pricing policies on the revenue of the creator of the product, who may be different than the producer. Our results indicate that the explicit incorporation of these different consumer segments will cause the producer to charge lower prices and, therefore, lead to higher legal product diffusion. We show that the royalty system does not solve the double marginalization problem and is suboptimal from a supply-chain perspective. Also, the creator of the goods prefers a lower price than the producer's optimal price, and this tendency increases with the creator's per unit royalty.",Journal of Management Information Systems,24,2007,3,109,141
806, Khalil Khoumbati;  Marinos Themistocleous;  Zahir Irani,Evaluating the Adoption of Enterprise Application Integration in Health-Care Organizations, enterprise application integration;  health-care organization;  information system adoption;  information system evaluation,"The integration of heterogeneous information systems has always been problematic in health-care organizations, as it is associated with the delivery of key services and has high operational costs. Therefore, health-care organizations are looking for new means to increase their functional capabilities and reduce integration cost. In addressing this need, enterprise application integration (EAI) technology has emerged to facilitate systems integration, enhance the quality of services, and reduce integration costs. Despite the application of EAI in other sectors, its adoption in health care is slow. In seeking to build on the limited normative research surrounding EAI, the authors of this paper focus on the evaluation of factors that influence EAI adoption in the health-care sector. In doing so, using fuzzy cognitive mapping as a technique to identify causal interrelationships among the EAI adoption factors. This approach will enhance the quality of the evaluation process and emphasizes the importance of each factor and its interrelationship with other factors. The outcomes shown in this paper will support health-care organizations' decision makers in exploring the implications surrounding EAI adoption.",Journal of Management Information Systems,22,2006,4,69,108
807, Dongmin Kim;  Izak Benbasat,"Trust-Assuring Arguments in B2C E-commerce: Impact of Content, Source, and Price on Trust", elaboration likelihood model;  price;  third-party certification;  Toulmin argumentation model;  trust;  trust-assuring arguments;  trust in e-commerce,"The research question examined in this paper is whether or not product price can be used as a proxy to predict how customers' trust will be influenced by different trust-assuring arguments displayed on a business-to-consumer e-commerce Web site. Drawing from the elaboration likelihood model (ELM) and Toulmin's model of argumentation, we examine the effects on consumer trust of two levels of source and two levels of content factors, under two levels of product price, in a laboratory experiment with 128 subjects. Product price was predicted as a moderating factor that would influence the customer's motivation to scrutinize more closely the content of the trust-assuring arguments. The results suggest that customers are more influenced by the content of trust-assuring arguments when the price of a product is relatively high than when it is relatively low. Presumably, Internet stores employ a third party's trust-assuring arguments because customers are less likely to trust an unknown Internet store's own trust-assuring arguments. However, the results paradoxically may imply that when customers have more at stake (e.g., buying a high-price product), they do not necessarily have to rely only on an independent third-party source to form high trust beliefs about the store. When customers purchase a high-price product, they seem to form trusting beliefs by scrutinizing argument content rather than by depending on heuristic cues (e.g., an independent party's opinion) as the ELM would predict.",Journal of Management Information Systems,26,2009,3,175,206
808, Dan J. Kim,Self-Perception-Based Versus Transference-Based Trust Determinants in Computer-Mediated Transactions: A Cross-Cultural Comparison Study, cross-cultural comparison;  culture impacts;  self-perception-based trust;  transference-based trust;  trust in e-vendor;  Type I and type II cultures,"This study examines the impact of culture on trust determinants in computer-mediated commerce transactions. Adopting trust-building foundations from cross-culture literature and focusing on a set of well-established cultural constructs as groups of culture (Type I and Type II), this study develops a theoretical model of self-perception-based versus transference-based consumer trust in e-vendors, and empirically tests the model using cross-cultural data. The results show that transference-based trust determinants (i.e., ""perceived importance of third-party seal"" and ""perceived importance of positive referral"") are more positively related to consumer trust in e-vendors in a Type II (i.e., collectivist--strong uncertainty avoidance--high long-term orientation--high context) culture than in a Type I (i.e., individualistic--weak uncertainty avoidance--low long-term orientation--low context) culture. Unlike the initial hypothesized expectations, self-perception-based trust determinants (i.e., perceived security protection, perceived privacy concern, and perceived system reliability) do not show stronger roles to consumer trust in e-vendors in a Type I culture than in a Type II culture, although the stronger negative effect of perceived privacy concerns is observed on consumer trust in e-vendors in a Type I culture than in a Type II culture. Theoretical contributions for e-commerce cross-culture literature and implications for multinational online business managers are discussed.",Journal of Management Information Systems,24,2008,4,13,45
809, Gimun Kim;  Bongsik Shin;  Ohbyung Kwon,Investigating the Value of Sociomaterialism in Conceptualizing IT Capability of a Firm, imbrication metaphor;  IT capabilities;  sociomaterialism;  sociomateriality;  third-order factor,"Sociomateriality (or sociomaterialism) allows us to approach the information technology (IT) capability research from an angle that has been rarely visited by information systems scholars. While relevant studies presume that humans and materials are distinct and largely independent, sociomateriality emphasizes agency that represents the relational, emergent, and shifting capacity realized through the association of actors (both humans and materials). The objective of this paper is to explore the value of conducting IT capability research through the theoretical lens of sociomaterialism. For this, we expand the imbrication metaphor introduced in an early study to explain the formation and advancement of a firm's IT capability from the sociomaterial perspective. Then, the key building blocks of IT capability of an organization are conceptualized based on the combination of existing studies and the expanded imbrication metaphor. Lastly, the effectiveness of formulating IT capability as a third-order construct that substantiates the entanglement concept of sociomaterialism is examined in comparison with that of traditional modeling approaches. We confirm the value of sociomaterialism in conceptualizing IT capability and subsequently in unraveling the true contribution of IT capability toward strengthening business performance. The findings also have practical implications in which IT capability is a function of IT management capability as well as IT personnel capability and IT infrastructure capability.",Journal of Management Information Systems,29,2012,3,327,362
810, Youngsok Bang;  Dong-Joo Lee;  Kunsoo Han;  Minha Hwang;  Jae-Hyeon Ahn,"Channel Capabilities, Product Characteristics, and the Impacts of Mobile Channel Introduction", counterfactual analysis;  electronic commerce;  mobile commerce;  multichannel strategy;  multivariate baseline analysis;  substitute and complement;  time series;  vector autoregression,"Drawing on the notion of channel capability, we develop a theoretical ramework for understanding the interactions between mobile and traditional online channels for products with different characteristics. Specifically, we identify two channel capabilities-access and search capabilities-that differentiate mobile and online channels, and two product characteristics that are directly related to the channel capabilities-time criticality and information intensity. Based on this framework, we generate a set of predictions on the differential effects of mobile channel introduction across different product categories. We test the predictions by applying a counterfactual analysis based on vector autoregression to a large panel data set from a leading e-market in Korea that covers a 28-month period and contains all of the transactions made through the online and mobile channels before and after the mobile channel introduction. Consistent with our theoretical predictions, our results suggest that the performance impact of the mobile channel depends on the two product characteristics and the resulting product-channel fit. We discuss implications for theory and multichannel strategy.",Journal of Management Information Systems,30,2013,2,101,126
811, Steven O. Kimbrough;  Scott A. Moore,"Message Management Systems: Concepts, Motivations, and Strategic Effects", electronic commerce;  electronic data interchange;  electronic markets;  interorganizational information systems;  message management,"This paper motivates the need for system-level message management software. It begins by considering information flows in the workplace as a source of potential gains in efficiency. We next investigate work-flow automation and electronic data interchange (EDI) as indicative of current technologies applied to work processes and message management. Having described current technology and our vision of work processes, we propose an alternative, general-purpose, software technology for supporting application-to-application communication. Problems of EDI, of process-to-process communication, and of describing information items are discussed in terms of the communication problems they present. We then justify the need for this kind of software and lay out the criteria (or plausibility conditions) for evaluating a proposal for this sort of system software. The use of a formal communication language is proposed as a common solution to these problems. This proposal is examined in the context of the EDI problem, in order to demonstrate how the proposal might work in practice. Practical benefits of the proposal are discussed that highlight the impact such a technology might have on business practices. The proposed solution is measured against the plausibility conditions presented earlier in the paper; it is found to be sufficient in some cases and in need of further investigation in others. We then discuss the industrial-organizational implications of the availability of such a technology, and hypothesize that it would affect the number and form of cooperative business relationships as well as their scope and depth. We also hypothesize that it would provide advantages to those firms that quickly adopt the technology.",Journal of Management Information Systems,9,1992,2,29,52
812, Ruth C. King;  Vikram Sethi,The Impact of Socialization on the Role Adjustment of Information Systems Professionals, information systems personnel;  role adjustment;  socialization;  training,"The study of socialization and its practices has only recently been applied to organizations to investigate the manner in which new employees adjust to corporate culture. Past studies have examined the nature of human-resource development from an individual perspective. Research in socialization practices represents an organizational approach toward understanding the manner in which new employees adjust to their roles. This study examines the impact of socialization practices on the nature of this role adjustment with respect to information systems professionals. One hundred and sixty newly hired IS personnel in five different cities were surveyed to examine the relationship between organizational socialization tactics and adjustment variables such as role orientation, role ambiguity, and role clarity. Results suggest that socialization practices affect professional role adjustment. Specifically, institutionalized socialization tactics lead to a custodial role orientation and individualized socialization tactics produce an innovative role orientation. In addition, institutionalized tactics are shown to reduce role ambiguity and role conflict in new employees. Implications for human-resource management of IS personnel and future research in this area are discussed.",Journal of Management Information Systems,14,1998,4,195,217
813, William R. King;  Vikram Sethi,An Empirical Assessment of the Organization of Transnational Information Systems, global information systems management;  multinational corporations;  strategic information systems,"The objective of this study is to aid our understanding of the organization of information systems in organizations whose activities cross national boundaries. The increasing globalization of business has led firms to seek new, and more appropriate, organizational structures, processes, and cultures. This has required the establishment of appropriate information technology platforms to coordinate business processes and to provide coalition mechanisms. This study is based on five important dimensions of transnational strategy--the configuration of value chain activities, the coordination of value chain activities, centralization, strategic alliances, and market integration--that define a comprehensive taxonomy of transnational strategy. A basic proposition is that a firm's transnational strategy will be reflected in the design of its information systems. To address this proposition, a two-stage questionnaire study was conducted. Respondents included 150 multinational corporations from 20 countries and 25 industries. The five dimensions of transnational strategy were operationalized, and the analysis established the validity of a taxonomy that is better suited to the study of systems-related issues in MNCs. This taxonomy was used to test hypotheses related to the organization of transnational systems. These hypotheses were stated in terms of IS organizational, strategic, architectural, and personnel dimensions. The results of the study support the proposition that the organizational characteristics of centralization, dispersal, and coordination are differentially reflected in the IT configurations of various kinds of MNCs. In a centrally coordinated business structure, IT is also globally centralized. In addition, local autonomy was shown to affect the deployment of IT in global firms.",Journal of Management Information Systems,15,1999,4,7,28
814, William R. King;  Thompson S. H. Teo,Key Dimensions of Facilitators and Inhibitors for the Strategic Use of Information Technology, competitive advantage;  factors of information system success;  strategic information systems,"A field survey was conducted to determine key organizational factors that facilitate and/or inhibit the development of strategic applications of information technology (IT) in business firms. A comprehensive list of potential facilitators and inhibitors for the strategic use of information technology was derived from past research and used as the basis for collecting data from 121 firms. These data were factor-analyzed to determine the key underlying dimensions of facilitators and inhibitors. On the basis of the resulting seven dimensions, stepwise discriminant analysis was used to compare companies that have used IT applications for strategic purposes and companies that have not done so. The results suggest that innovative needs, competitive position, environment, economies of scale, and top management guidance are the most important facilitators, while the lack of IT drivers, the lack of economies of scale, and the lack of innovative needs are the most important inhibitors.",Journal of Management Information Systems,12,1996,4,35,53
815, Rajiv Kishore;  Manish Agrawal;  H. Raghav Rao,Determinants of Sourcing During Technology Growth and Maturity: An Empirical Study of e-Commerce Sourcing, asset life cycle;  content analysis;  e-commerce projects;  e-commerce sourcing;  governance forms;  project strategic intent;  project task complexity;  sourcing determinants;  sourcing modes;  technology growth phase,"This paper conducts a two-period dynamic analysis of sourcing mode choices for e-commerce projects implemented by large firms during 1999-2002. We differentiate e-commerce assets that are the focus of a sourcing decision in terms of whether they are in the growth or maturity stages. We also consider hybrid governance mechanisms, such as minority equity arrangements, as a potential sourcing mode in addition to the conventional distinction between insourcing (i.e.. hierarchical governance) and outsourcing (i.e., market governance). The rapid evolution in e-commerce technologies and their markets during this period allows us to test whether asset maturity plays any role in sourcing decisions. Results indicate that when the strategic intent of an e-commerce project is more business focused during the growth phase, hybrid governance is preferred over hierarchical governance for sourcing of e-commerce assets. Strategic intent is found not to influence sourcing mode choices during the technology/market maturity phase. Hierarchical governance is the preferred sourcing mode during the growth phase, when task complexity is high. For managing task complexity, as technologies and their markets mature, both hierarchical and hybrid governance modes become preferable to the market governance mode.",Journal of Management Information Systems,21,2004,3,47,82
816, Gary Klein,Developing Model Strings for Model Managers, decision support systems;  model management systems;  model integration,"Models are a key component in the decision-making process. Model managers have been proposed to select and direct the use of models in a decision setting. A limitation of model managers is their inability to optimally integrate several models to arrive at a decision. A scheme to overcome this limitation is presented. By specifying input requirements to each model and outputs available from each model, a string of models may be developed. An implicit enumeration algorithm ensures a feasible string of models for a required output and composes the string in optimal form according to a user-defined objective. The algorithm may be used in conjunction with existing model management techniques.",Journal of Management Information Systems,3,1986,2,94,110
817, Gary Klein;  Benn Konsynski;  Philip O. Beck,A Linear Representation for Model Management in a DDS, decision support systems;  model management systems;  linear programming,"Models are a key component in most decision making processes. Systems developed to effectively support the decision making process must accommodate multiple, alternative models that support alternative views of the decision making environment. An effective model management environment must facilitate the definition and maintenance of models and deal with the complex issue of selection from among the collection of alternative, feasible models. A linear programming approach to model selection is presented. The LP formulation works on historical information regarding model usage. A stepwise heuristic for model selection using the linear program is presented and extensions to the model are introduced.",Journal of Management Information Systems,2,1985,2,40,54
818, Stefan Werner Knoll;  Graham Horton,Changing the Perspective: Using a Cognitive Model to Improve thinkLets for Ideation, change of perspective;  cognitive model of ideation;  collaboration engineering;  idea generation;  thinkLets,"In the field of collaboration engineering, thinkLets describe reusable and transferable collaborative activities to reproduce known patterns of collaboration. This paper focuses on thinkLets of the pattern Generate, which define collaboration activities to produce and share new contributions by a group. We address the question whether the small number of published Generate thinkLets can adequately represent the various approaches contained in published idea generation techniques. We used a cognitive model to analyze 101 idea generation techniques with regard to the underlying mental principles that stimulate the ideation process by deliberately activating larger areas of the knowledge network. We present three changes of perspective based on these principles, which can be used to formalize the underlying mechanisms of idea generation techniques. The paper shows how these three principles can be used to improve Generate thinkLets and discusses how this formalization can improve the applicability of information systems for ideation processes.",Journal of Management Information Systems,28,2011,1,85,114
819, Cenk Kocas,Evolution of Prices in Electronic Markets Under Diffusion of Price-Comparison Shopping, diffusion of innovations;  Internet economics;  price-comparison engines;  price-comparison shopping;  price competition,"Price-comparison engines allow customers to compare product offerings of online sellers and reveal almost complete information on the alternatives, and hence create erosion in store loyalty. Consequently, the competitive dynamics of online sales are affected in markets where price-comparison shopping is diffusing rapidly. We develop a dynamic competitive pricing model that deals with an asymmetric duopolistic market where the segment sizes are determined through a diffusion process. Our diffusion-of-innovations approach allows us to dynamically capture the proportion of informed and uninformed customers in a homogenous goods market. We use this model to analyze how strategic profit-maximization behavior evolves over time. This analysis shows that the increasing numbers of price-comparison shoppers pull prices down, and the rate at which prices decrease is shaped by the diffusion curve and brand preference. Our analysis shows that stores with loyal customers, or with a preference for their brands, can attain higher profits further into the diffusion process. The direct implication is that firms should use their information technology, operations, and marketing capabilities to create, enhance, and cultivate stronger preferences for, and loyalty to, their brand names to survive the inevitable information-rich markets of tomorrow.",Journal of Management Information Systems,19,2002,3,99,119
820, Manfred Kochen,Are MIS Frameworks Premature?, MIS research;  MIS frameworks;  heuristics,"Research on MIS has been guided by the belief that the building and use of definitional frameworks should precede theoretical and experimental studies, with applications or uses of these results coming last. A reversal of this sequence is proposed, with uses of MIS being scientifically studied first, leaving the search for definitions for the future. The success of this strategy is illustrated with the history of the derivative as a broad analog of the MIS concept.",Journal of Management Information Systems,2,1985,3,92,100
821, Rajiv D. Banker;  Robert J. Kauffman;  Rachna Kumar,An Empirical Test of Object-based Output Measurement Metrics in a Computer Aided Software Engineering (CASE) Environment, CASE;  computer-aided software engineering;  cost estimation;  function point analysis;  object-based metrics;  object point analysis;  productivity measurement;  software reuse;  software development;  software economics;  software metrics,"Existing output measurement metrics for cost estimation and development productivity need to be reexamined to determine their performance in computer-aided software engineering (CASE) development environments. This paper critiques and empirically evaluates four approaches to the measurement of outputs. Two of the metrics, raw function counts and function points, are based on the function point analysis methodology pioneered by Albrecht and Gaffney at IBM. The second two, object counts and object points, are based on a new approachâ€”object points analysisâ€”that is introduced here for the first time. The latter metrics are specialized for output measurement in object-based CASE environments that include a centralized object repository. Estimation results for nineteen large-scale CASE projects show that the new metrics have the potential to yield equally accurate, yet easier to obtain estimates than function points-based measures.",Journal of Management Information Systems,8,1991,3,127,150
822, Clemens F. Kohler;  Els Breugelmans;  Benedict G. C. Dellaert,Consumer Acceptance of Recommendations by Interactive Decision Aids: The Joint Role of Temporal Distance and Concrete Versus Abstract Communications, construal level theory;  consumer behavior;  electronic commerce;  interactive decision aids;  recommenders,"Interactive decision aids (IDAs) typically use concrete, featureâ€“based approaches to interact with consumers. Recently, however, interaction designs that focus on communicating abstract consumer needs have been suggested as a promising alternative. This paper investigates how temporal distance moderates the effectiveness of these two competing IDA communication designs by its effect on consumersâ€™ mental representation of the product decision problem. Temporal distance is inherently connected to IDAs in two ways. Congruency between consumption timing (immediate versus distant) and IDA communication design (concrete versus abstract, respectively) increases the likelihood to accept the IDAâ€™s advice. This effect is also achieved by congruency between IDA process timing (immediate versus delayed delivery of recommendations) and IDA communication design (concrete versus abstract, respectively). We further show that this process is mediated by the perceived transparency of the IDA process. Managers and researchers need to take into account the importance of congruency between the user and the interface through which companies interact with their users and can further optimize IDAs so that they better match consumersâ€™ mental representations.",Journal of Management Information Systems,27,2011,4,231,260
823, Rajiv Kohli;  Sarv Devaraj;  M. Adam Mahmood,Understanding Determinants of Online Consumer Satisfaction: A Decision Process Perspective, B2C e-commerce;  business-to-consumer commerce;  consumer decision-making;  electronic commerce;  online selling channel,"As business-to-consumer online shopping grows, e-commerce channel providers will need to explore ways to anticipate consumers' needs to deliver an efficient shopping experience. Yet the consumers' decision-making process and its relationship to the selection of the online channel are not well understood. Utilizing Simon's decision-making model, we examined support for decision-making phases using 134 online consumers. We also extended the model to include consumers' cost savings and time savings, as well as their satisfaction with the e-commerce channel. Structural equation modeling results indicate that the online shopping channel supported the overall decision-making process. In particular, we found strong support for the design and choice phases of online consumers' decision-making process. Our results also indicate that support for the decision-making process was mediated by the cost savings and time savings gained by the online consumers and led to their greater channel satisfaction.",Journal of Management Information Systems,21,2004,1,115,135
824, Gwendolyn L. Kolfschoten;  Gert-Jan De Vreede,A Design Approach for Collaboration Processes: A Multimethod Design Science Study in Collaboration Engineering, collaboration engineering;  design science;  facilitation;  group support systems;  pattern language,"Collaboration engineering is an approach for the design and deployment of repeatable collaboration processes that can be executed by practitioners without the support of collaboration professionals such as facilitators. A critical challenge in collaboration engineering concerns how the design activities have to be executed and which design choices have to be made to create a process design. We report on a four-year design science study in which we developed a design approach for collaboration engineering that incorporates existing process design methods, pattern-based design principles, and insights from expert facilitators regarding design challenges and choices. The resulting approach was evaluated and continuously improved in four trials with 37 students. Our findings suggest that this approach is useful to support the design of repeatable collaboration processes. Our study further serves as an example of how a design approach can be developed and improved following a multimethod design science approach.",Journal of Management Information Systems,26,2009,1,225,256
825, Gwendolyn L. Kolfschoten;  Fred Niederman;  Robert O. Briggs;  Gert-Jan De Vreede,Facilitation Roles and Responsibilities for Sustained Collaboration Support in Organizations, collaboration engineering;  collaboration support;  facilitation;  group support systems;  group work,"Research shows that under certain conditions, groups using collaboration technologies such as group support systems (GSS) can gain substantial improvements in the effectiveness and efficiency of their work processes. GSS, however, have been slow to develop self-sustaining communities of users in the workplace. Organizations that use collaboration technology may require two kinds of support: process support and technology support. Both types of support involve (1) design tasks (e.g., designing a work process and designing the technology to support the process), (2) application tasks (to apply the process and to use the technology), and (3) management tasks (to monitor and control the process and to oversee the maintenance of the technology). This paper explores how these tasks and associated roles can be anchored in organizations, and the relationship of task allocation patterns to the sustained use of collaboration technology in organizations.",Journal of Management Information Systems,28,2012,4,129,162
826, Tobias Kollmann;  Matthias Häsel;  Nicola Breugst,Competence of IT Professionals in E-Business Venture Teams: The Effect of Experience and Expertise on Preference Structure, competence of IT professionals;  competence profile;  competence valuation;  conjoint analysis;  electronic business;  team composition,"The ascension of e-business has significantly changed competence requirements of information technology (IT) professionals. In this paper, we derive a competence set that addresses these changes and investigate individual preferences for specific competence components within e-business teams. We connect these preferences and competence valuation with personal characteristics of team members that were found to influence the perception of competence requirements in previous research. To empirically address this issue, we apply a Web-based questionnaire with adaptive conjoint measurement. By cluster analysis, we identify four competence profiles preferred by team members. Data from 176 respondents suggest that experience is related to the preferred profile, whereas expertise is related to overall competence valuation. Our research suggests that immature teams should consider that preferences regarding IT professionals may change with venture maturation, whereas interdisciplinary teams should discuss each member's value contribution. Considering our results, these suggestions could optimize the process of team composition.",Journal of Management Information Systems,25,2009,4,51,79
827, Benn R. Konsynski,Advances in Information System Design, development of information systems;  automated tools for system development;  data dictionaries/directories;  fourth generation languages,"Over the past several decades, generations of development tools have evolved to improve the productivity of system development and increase the impact of information systems on improvement of management practice. The solution techniques include the continuum from development guidelines to comprehensive tool environments. Methods and procedures have been considered that range from end-user development support to large-scale systems automation approaches for support of the entire systems development process. In this paper definition techniques, software engineering, and end-user development approaches are discussed. Data Dictionaries, value-added dictionaries and directories, requirements database systems, and emerging ""system encyclopedias"" are discussed as keys to many of the evolving system development environments. The Fourth Generation approaches and the Information Center concept are presented as frameworks for developing an end-user computing capability.",Journal of Management Information Systems,1,1984,3,5,32
829, Benn R. Konsynski;  Jeffrey E. Kottemann;  Jay F. Nunamaker;  Jack W. Stott,PLEXSYS-84: An Integrated Development Environment for Informational Systems, automation of system development;  tools for system development;  integrated development environments;  system development methodologies,"Integrated Development Environments (IDES) are presented as a unified set of information system development concepts, techniques, and computer-aided tools. An IDE consists of both a complete and unified development methodology and set of computer aids that support use of the methodology. The need for IDES and their characteristics are reviewed. The PLEXSYS-84 IDE is reviewed in relation to these needs and characteristics. Techniques and tools which extend the initial work are placed within the original PLEXSYS-84 framework and are described in some detail.",Journal of Management Information Systems,1,1984,3,64,104
830, David Kopcso;  Leo Pipino;  William Rybolt,A Comparison of the Manipulation of Certainty Factors by Individuals and Expert System Shells, expert systems;  certainty factors;  uncertainty in expert systems,"This paper addresses the treatment of uncertainty in expert system shells. A review of the modeling of uncertainty by expert system shells is presented. An experiment to replicate earlier work investigating the manner in which individuals manipulate certainty factors in comparison to commercial shells is discussed. Comparisons are made between seven commercial shells, both personal computer (PC) and mainframe based, and individuals. A significant difference between individuals and shells as well as among shells themselves is indicated. Some implications for both expert system and decision support system (DSS) methodologies are discussed.",Journal of Management Information Systems,5,1988,1,66,81
831, Jeffrey E. Kottemann;  Benn R. Konsynski,Information Systems Planning and Development: Strategic Postures and Methodologies, strategic planning;  information systems planning;  information systems integration;  information systems for competitive advantage,"Two complementary issues emerge in development and implementation of a comprehensive IS plan--the determination of the IS functions's strategic posture and the choice of appropriate IS planning and development methodologies. Frameworks for addressing both issues are presented. IS strategic postures vary along several dimensions, including the level and scope of the system view as well as the degree of participation of the IS function in overall organizational planning. Current IS planning methodologies differ in: components of the organization used as planning pivots, assumptions indicating perceived stability of components, and IS objectives reflected in the methodology. Those assumptions and objectives implicit in a methodology dictate their suitability for given strategic postures. A contingency framework is used in examining selected IS planning and development methodologies.",Journal of Management Information Systems,1,1984,2,45,63
832, Rajiv D. Banker;  Robert J. Kauffman;  Richard C. Morey,Measuring Gains in Operational Efficiency from Information Technology: A Study of the Positran Deployment at Hardee's Inc, measuring value of information systems;  operational efficiency;  productivity gains due to information systems,"This paper presents a new approach to measuring the input productivity gains from information technology (IT) in complex managerial environments. The approach is illustrated in the context of a study of a pilot deployment at Hardee's Inc. of a new cash register point-of-sale and order-coordination technology called ""Positran."" The method employs data envelopment analysis (DEA) and nonparametric production frontier hypothesis testing to determine whether the performance of restaurants that have deployed Positran is better, on average, than for those that have not. The design of the study is of special interest, because it approximates a controlled experiment. Our results show that Positran helped to reduce input materials costs, since restaurants that deployed the technology were less likely to be inefficient. It is further possible to characterize the class of restaurants for which the relationship holds. Operational efficiency measures such as the ones we have developed provide managers with the opportunity to implement deployment strategies for new ITS in order to maximize value.",Journal of Management Information Systems,7,1990,2,29,54
833, Kenneth A. Kozar,Adopting Systems Development Methods: An Exploratory Study, systems development method;  systems adoption;  individual characteristics of MIS professionals,"A general opinion is that systems personnel are unlikely adopters of new systems development methods. Thirty-five systems persons from eleven organizations who attended a seminar/workshop on a requirements defining method were surveyed three months after the seminar to determine whether they used the method and factors influencing usage. Factors about the potential adoptee, the current tasks assigned, and the organization and its existing methods were considered as predictors of usage. The study found adopters to be younger, to have spent less time in their organization and in systems work, not to have a current method that they would have to give up, to perceive themselves to be risk takers, and to be more optimistic about their ability to use the method and have it fit in their organization.",Journal of Management Information Systems,5,1989,4,73,86
834, Allan M. Krebs;  Bogdan Dorohonceanu;  Ivan Marsic,Supporting Collaboration in Heterogeneous Environments, collaboration;  heterogeneity;  information systems;  middleware;  mobile devices,"Heterogeneous sharing in synchronous collaboration is important with the proliferation of diverse computing environments, such as wearable computers and handheld devices. We present here a data-centric design for synchronous collaboration of users with heterogeneous computing platforms. Our approach allows clients with different capabilities to share different subsets of data in order to conserve communication bandwidth. We have built a robust middleware consisting of a distributed repository of shared data objects and a client-server-based infrastructure. Using the middleware, we have developed a framework for building collaborative applications for clients with different display and processing capabilities. We discuss the design and implementation of our middleware and framework and evaluate them by building four complex sample applications that demonstrate scalability, good performance, and high degree of code reusability.",Journal of Management Information Systems,20,2004,4,199,227
835, Uday R. Kulkarni;  Sury Ravindran;  Ronald Freeze,A Knowledge Management Success Model: Theoretical Development and Empirical Validation, information systems success;  knowledge management;  knowledge management success;  knowledge management systems;  knowledge quality;  knowledge reuse;  knowledge sharing;  system quality;  user satisfaction,"We examine a knowledge management (KM) success model that incorporates the quality of available knowledge and KM systems built to share and reuse knowledge such as determinants of users' perception of usefulness and user satisfaction with an organization's KM practices. Perceived usefulness and user satisfaction, in turn, affect knowledge use, which in our model is a measure of how well knowledge sharing and reuse activities are internalized by an organization. Our model includes organizational support structure as a contributing factor to the success of KM system implementation. Data collected from 150 knowledge workers from a variety of organizations confirmed 10 of 13 hypothesized relationships. Notably, the organizational support factors of leadership commitment, supervisor and coworker support, as well as incentives, directly or indirectly supported shared knowledge quality and knowledge use. In line with the proposed model, the study lends support to the argument that, in addition to KM systems quality, firms must pay careful attention to championing and goal setting as well as designing adequate reward systems for the ultimate success of these efforts. This is one of the first studies that encompasses both the supply (knowledge contribution) and demand (knowledge reuse) sides of KM in the same model. It provides more than anecdotal evidence of factors that determine successful KM system implementations. Unlike earlier studies that only deal with knowledge-sharing incentives or quality of shared knowledge, we present and empirically validate an integrated model that includes knowledge sharing and knowledge quality and their links to the desired outcome--namely, knowledge reuse.",Journal of Management Information Systems,23,2006,3,309,347
836, Akhil Kumar;  Wil M. P. Van Der Aalst;  Eric M. W. Verbeek,Dynamic Work Distribution in Workflow Management Systems: How to Balance Quality and Performance, metrics for work distribution;  workflow management;  workflow systems,"Today's workflow management systems offer work items to workers using rather primitive mechanisms. Although most workflow systems support a role-based distribution of work, they have problems dealing with unavailability of workers as a result of vacation or illness, overloading, context-dependent suitability, deadlines, and delegation. As a result, the work is offered to too few, too many, or even the wrong set of workers. Current practice is to offer a work item to one person, thus causing problems when the person is not present or too busy, or to offer it to a set of people sharing a given role, thus not incorporating the qualifications and preferences of people. Literature on work distribution is typically driven by considerations related to authorizations and permissions. However, workflow processes are operational processes where there is a highly dynamic trade-off between quality and performance. For example, an approaching deadline and an overloaded specialist may be the trigger to offer work items to less qualified workers. This paper addresses this problem by proposing a systematic approach to dynamically create a balance between quality and performance issues in workflow systems. We illustrate and evaluate the proposed approach with a realistic example and also compare how a workflow system would implement this scenario to highlight the shortcomings of current, state of the art workflow systems. Finally, a detailed simulation model is used to validate our approach.",Journal of Management Information Systems,18,2001,3,157,193
837, Ram L. Kumar,A Note on Project Risk and Option Values of Investments in Information Technologies, information-system economics;  information-technology investments;  real options,"Justification of investments in information technologies is an important research topic in the information systems area. Several approaches have been proposed. One of these highlights the deficiencies of traditional economic justification based on net present value, and proposes the use of techniques based on financial option pricing theory. This paper examines the relationship between project risk and option values of investments in new information technologies and illustrates how this relationship is significantly different from well-known results in the case of financial option pricing. Conditions for determining the desirability of risky projects are derived.",Journal of Management Information Systems,13,1996,1,187,193
